post_id,description,sentiment,len_description,hashtags,num_hasht,comments,likes,mentions,year,month,day,hashtags_r
2548428935370961408,"Manchin makes no sense. Republican values are the opposite of the Democrats. There is no middle ground with white nationalism, white terrorism, and white supremacy. #JoeManchin #Filibuster",negative,188,"['#JoeManchin', '#Filibuster']",2,4,18,0,2021,April,9,"c(#JoeManchin', '#Filibuster)"
2548401849159661568,#MAGA #maggat #GOP #conservative #republicans #insurrection #trumpians #trumptard #evangelicals #resist #fascists #NRA #guns #guncontrol #gunlegislation #treason #mcconnell #corruption #economy #coup #votersuppression #minimumwage #wage #stimulus #filibuster,negative,258,"['#MAGA', '#maggat', '#GOP', '#conservative', '#republicans', '#insurrection', '#trumpians', '#trumptard', '#evangelicals', '#resist', '#fascists', '#NRA', '#guns', '#guncontrol', '#gunlegislation', '#treason', '#mcconnell', '#corruption', '#economy', '#coup', '#votersuppression', '#minimumwage', '#wage', '#stimulus', '#filibuster']",25,3,44,0,2021,April,9,"c(#MAGA', '#maggat', '#GOP', '#conservative', '#republicans', '#insurrection', '#trumpians', '#trumptard', '#evangelicals', '#resist', '#fascists', '#NRA', '#guns', '#guncontrol', '#gunlegislation', '#treason', '#mcconnell', '#corruption', '#economy', '#coup', '#votersuppression', '#minimumwage', '#wage', '#stimulus', '#filibuster)"
2548379852778445824,"""What's happening in Yemen is the worst humanitarian crisis on the planet. 16 million people—over half of the country's population—are going hungry.""-@repmarkpocan

#MarkPocan #Yemen #YemenCantWait #BernieSanders #MedicareForAll #FightFor15 #RaiseTheWage #OrganizeToWin #NotMeUs #OurRevolution #GoodJobsForAll #Justice #Healthcare #GunControl #GunReformNow #GunControlNow #GunReform #BackgroundChecks #BackgroundChecksNow #HR8 #Politics #uspolitics #Progressive #Filibuster #AbolishFilibusterNow #AbolishFilibuster #EndFilibuster #EnoughIsEnough #Senate #10votes",negative,562,"['#MarkPocan', '#Yemen', '#YemenCantWait', '#BernieSanders', '#MedicareForAll', '#FightFor15', '#RaiseTheWage', '#OrganizeToWin', '#NotMeUs', '#OurRevolution', '#GoodJobsForAll', '#Justice', '#Healthcare', '#GunControl', '#GunReformNow', '#GunControlNow', '#GunReform', '#BackgroundChecks', '#BackgroundChecksNow', '#HR8', '#Politics', '#uspolitics', '#Progressive', '#Filibuster', '#AbolishFilibusterNow', '#AbolishFilibuster', '#EndFilibuster', '#EnoughIsEnough', '#Senate', '#10votes']",30,0,11,1,2021,April,9,"c(#MarkPocan', '#Yemen', '#YemenCantWait', '#BernieSanders', '#MedicareForAll', '#FightFor15', '#RaiseTheWage', '#OrganizeToWin', '#NotMeUs', '#OurRevolution', '#GoodJobsForAll', '#Justice', '#Healthcare', '#GunControl', '#GunReformNow', '#GunControlNow', '#GunReform', '#BackgroundChecks', '#BackgroundChecksNow', '#HR8', '#Politics', '#uspolitics', '#Progressive', '#Filibuster', '#AbolishFilibusterNow', '#AbolishFilibuster', '#EndFilibuster', '#EnoughIsEnough', '#Senate', '#10votes)"
2548357265771845632,"Arizonans are tired of Senator Sinema’s excuses, and it shows. Sinema’s favorability rating dropped drastically after she took her vocal position in favor of the Senate filibuster rule—and Arizonans are not happy. 

Sinema’s support for the filibuster will jeopardize almost every piece of popular legislation on the agenda—from protection for our right to vote to immigration reform to worker protections.

Arizonans, including Democrats and Independents aren’t standing for it. It’s time for Sinema to listen to her constituents if she wants to save her political reputation. Click the link in our bio or visit bit.ly/SinemaSinks to read our latest blog on Sinema’s drop in favorability, and why Sen. Kelly isn’t suffering the same fate. 
•
•
•
•
•
#sinema #endthefilibuster #filibuster #democrats #biden #azleg #forthepeopleact #americanjobsplan #americanrescueplan #covidrelief #politics #arizona #kyrstensinema #markkelly",negative,926,"['#sinema', '#endthefilibuster', '#filibuster', '#democrats', '#biden', '#azleg', '#forthepeopleact', '#americanjobsplan', '#americanrescueplan', '#covidrelief', '#politics', '#arizona', '#kyrstensinema', '#markkelly']",14,6,99,0,2021,April,9,"c(#sinema', '#endthefilibuster', '#filibuster', '#democrats', '#biden', '#azleg', '#forthepeopleact', '#americanjobsplan', '#americanrescueplan', '#covidrelief', '#politics', '#arizona', '#kyrstensinema', '#markkelly)"
2548279362488546816,"#nolie 

The few shouldn’t be able to hold the many hostage. We need to start demanding that our elected officials work together, instead of using these archaic tactics and systems that amount to getting nothing done and dragging the country deeper into the darkest recesses of hatred and divisiveness. Politicians need to be more effective. Ending the filibuster is a great start to that. 
.

.

.

.

.
#filibuster #vote #electoralcollege #endracism #healthcare #education #politics #political #congress #senate #senators",negative,523,"['#nolie', '#filibuster', '#vote', '#electoralcollege', '#endracism', '#healthcare', '#education', '#politics', '#political', '#congress', '#senate', '#senators']",12,0,4,0,2021,April,9,"c(#nolie', '#filibuster', '#vote', '#electoralcollege', '#endracism', '#healthcare', '#education', '#politics', '#political', '#congress', '#senate', '#senators)"
2548274443098808320,"Voting should be an American right, not a privilege. Join me tonight as I discuss voter suppression tactics and the filibuster live on Facebook, Instagram, and Twitter starting at 6:30pm EST. To join the movement to unseat Marco Rubio, please follow the link in my bio to sign up as a volunteer. 

#UnitedForFlorida #AllenEllisonForSenate #Filibuster #Tweet #Twitter #VoterSuppression #HB1 #HR1 #Vote #Democrat #Florida #Democracy",negative,430,"['#UnitedForFlorida', '#AllenEllisonForSenate', '#Filibuster', '#Tweet', '#Twitter', '#VoterSuppression', '#HB1', '#HR1', '#Vote', '#Democrat', '#Florida', '#Democracy']",12,3,62,0,2021,April,9,"c(#UnitedForFlorida', '#AllenEllisonForSenate', '#Filibuster', '#Tweet', '#Twitter', '#VoterSuppression', '#HB1', '#HR1', '#Vote', '#Democrat', '#Florida', '#Democracy)"
2548237891710819328,"""We can no longer tolerate a rigged system that allows FedEx to pay nothing in federal income taxes for 3 straight years after making billions in profits while forcing the Postal Service to pre-fund retiree benefits 75 years into the future for workers who haven't even been born.""-@berniesanders

#BernieSanders #WealthTax #TaxTheRich #MedicareForAll #FightFor15 #RaiseTheWage #OrganizeToWin #NotMeUs #OurRevolution #GoodJobsForAll #Justice #Healthcare #GunControl #GunReformNow #GunControlNow #GunReform #BackgroundChecks #BackgroundChecksNow #HR8 #Politics #uspolitics #Progressive #Filibuster #AbolishFilibusterNow #AbolishFilibuster #EndFilibuster #EnoughIsEnough #Senate #10votes",negative,685,"['#BernieSanders', '#WealthTax', '#TaxTheRich', '#MedicareForAll', '#FightFor15', '#RaiseTheWage', '#OrganizeToWin', '#NotMeUs', '#OurRevolution', '#GoodJobsForAll', '#Justice', '#Healthcare', '#GunControl', '#GunReformNow', '#GunControlNow', '#GunReform', '#BackgroundChecks', '#BackgroundChecksNow', '#HR8', '#Politics', '#uspolitics', '#Progressive', '#Filibuster', '#AbolishFilibusterNow', '#AbolishFilibuster', '#EndFilibuster', '#EnoughIsEnough', '#Senate', '#10votes']",29,0,21,1,2021,April,9,"c(#BernieSanders', '#WealthTax', '#TaxTheRich', '#MedicareForAll', '#FightFor15', '#RaiseTheWage', '#OrganizeToWin', '#NotMeUs', '#OurRevolution', '#GoodJobsForAll', '#Justice', '#Healthcare', '#GunControl', '#GunReformNow', '#GunControlNow', '#GunReform', '#BackgroundChecks', '#BackgroundChecksNow', '#HR8', '#Politics', '#uspolitics', '#Progressive', '#Filibuster', '#AbolishFilibusterNow', '#AbolishFilibuster', '#EndFilibuster', '#EnoughIsEnough', '#Senate', '#10votes)"
2548228513691290624,"Rise and Resist I’d doing a series of actions raising awareness of how the filibuster prevents congress from enacting the will of the majority. 

Graphic by @marylikespostcards 

#postcards #filibuster #majorityrule #endthe filibuster #risenresistnyc",positive,250,"['#postcards', '#filibuster', '#majorityrule', '#endthe', '#risenresistnyc']",5,0,10,1,2021,April,9,"c(#postcards', '#filibuster', '#majorityrule', '#endthe', '#risenresistnyc)"
2548218127505929728,"I go over the fight over the filibuster as well as why that may not be the godsend it seems for progressives in the Democratic caucus.<U+2060>
<U+2060>
<U+0001F440>See LINK IN BIO for full video!<U+0001F3A5><U+2060>
<U+2060>
#news<U+200B> #stimulus<U+200B> #stimulusupdate #filibuster #eliminated #progressives #battle #democraticcaucus #usnews #uspolitics #stimuluschecks #stimuluspackage #stimulusbill #stimulustalks #newsupdate #money #americanpeople #unitedstates #usa #covid #covid-19 #covid19 #coronavirus #coronavirusrelief #democrats #republicans #facts #senate #congress #dems",negative,521,"['#news', '#stimulus', '#stimulusupdate', '#filibuster', '#eliminated', '#progressives', '#battle', '#democraticcaucus', '#usnews', '#uspolitics', '#stimuluschecks', '#stimuluspackage', '#stimulusbill', '#stimulustalks', '#newsupdate', '#money', '#americanpeople', '#unitedstates', '#usa', '#covid', '#covid', '#covid19', '#coronavirus', '#coronavirusrelief', '#democrats', '#republicans', '#facts', '#senate', '#congress', '#dems']",30,0,1,0,2021,April,9,"c(#news', '#stimulus', '#stimulusupdate', '#filibuster', '#eliminated', '#progressives', '#battle', '#democraticcaucus', '#usnews', '#uspolitics', '#stimuluschecks', '#stimuluspackage', '#stimulusbill', '#stimulustalks', '#newsupdate', '#money', '#americanpeople', '#unitedstates', '#usa', '#covid', '#covid', '#covid19', '#coronavirus', '#coronavirusrelief', '#democrats', '#republicans', '#facts', '#senate', '#congress', '#dems)"
2548207970603639808,"The latest editorial cartoon by Michael de Adder<U+0001F3A8><U+2060>
<U+2060>
How would you caption this? Let us know in the comments and visit the link in our bio to see more!<U+2060>
Also, don't forget to:<U+2060>
<U+0001F514>Turn on post notifications<U+2060>
<U+0001F4F2>Check our Stories for more content",neutral,241,[],0,54,1238,0,2021,April,9,[]
