,texts,my_labels,predicted,prediction_class,clean_texts
0,"This week, the U.S. Women’s National Soccer Team visited the White House for Equal Pay Day. Here’s a peek at their visit.

#president #vp #joebiden #kamalaharris #nancypelosi #chuckschumer #filibuster #democracynow #democrats #thedailyshow #aclu #votevets #veteran #votebluetosaveamerica #independentsforamerica #staceyabrams #lincolnproject #dnc #militaryblaze #strong_military #whitehouse",neutral,neutral,neutral-neutral,This week the U S Women’s National Soccer Team visited the White House for Equal Pay Day Here’s a peek at their visit president vp joebiden kamalaharris nancypelosi chuckschumer filibuster democracynow democrats thedailyshow aclu votevets veteran votebluetosaveamerica independentsforamerica staceyabrams lincolnproject dnc militaryblaze strong military whitehouse
1,"#help #support #nonprofitorganization #communityorganization 
We don't have enough food we beg you to help and support us <U+0001F64F><U+0001F64F><U+2764><U+FE0F>",negative,positive,negative-positive,help support nonprofitorganization communityorganization We don't have enough food we beg you to help and support us U+0001F64F U+0001F64F U+2764 U+FE0F
2,"Open House is back on the 6th of May! It’s your chance to let us know what you think & have your voice heard. #Camerados is your movement & we want to know about the good, bad & ugly! 

New to #camerados & wondering what the chuffing heck it’s all about? Open House is a great chance to learn more. 

Open House is from 2.30pm (BST) & everyone's welcome - you can register through the link in our bio.
.
.
.
.
.
.
#HumanConnection #bemorehuman #humaninterest #humanconnections #humanbeings #bemorehumanrace #MutualAid #MutualRespect #socialmovement #socialmovements #bettertogether #community #connection #connections #HumanConnection #StayingConnected",positive,positive,positive-positive,Open House is back on the 6th of May ! It’s your chance to let us know what you think & have your voice heard Camerados is your movement & we want to know about the good bad & ugly ! New to camerados & wondering what the chuffing heck it’s all about? Open House is a great chance to learn more Open House is from 2 30pm (BST) & everyone's welcome you can register through the link in our bio   HumanConnection bemorehuman humaninterest humanconnections humanbeings bemorehumanrace MutualAid MutualRespect socialmovement socialmovements bettertogether community connection connections HumanConnection StayingConnected
3,"There's a difference between ""going with the flow"" and ""strategizing for the flow"". Going with the flow has it's benefits, but strategizing is what helps you create lasting impact through effective programs and actions.  Choose your approach wisely. 

#strategygame #strategy #nonprofitorganization #nonprofitorganizations #ngo #communityservice #givingbacktothecommunity #communityorganization #communityorganizations #changemaker",neutral,positive,neutral-positive,"There's a difference between ""going with the flow"" and ""strategizing for the flow"" Going with the flow has it's benefits but strategizing is what helps you create lasting impact through effective programs and actions Choose your approach wisely  strategygame strategy nonprofitorganization nonprofitorganizations ngo communityservice givingbacktothecommunity communityorganization communityorganizations changemaker"
4,"This year we are excited to expand our EdVentures program beyond Bellingham city limits! We are currently also serving Mount Baker School District and looking to expand into Blaine School District as well!

Our series of outings for 1st, 2nd, and 3rd grade classrooms focus on topics ranging from bird nests to pollinators and align with Next Generation Science Standards.

We are excited to have strong support from Mount Baker School District leadership. Curriculum Director, Bridget Rossman, has said, ""As a rural school district encompassing 622 square miles, surrounded by forest, rivers, and mountains, we believe in the power of our outdoor classroom yet lack the expertise to fully utilize it.

We are thrilled to partner with community organizations to provide outdoor, educational lessons that integrate healthy habits, scientific inquiry, and social-emotional learning.""

We are excited to be outside with more students this year! If you'd like to help support our EdVentures program you can donate by clicking the link in our bio.

#blaineschooldistrict  #mountbakerschooldistrict #communityorganizations",positive,positive,positive-positive,"This year we are excited to expand our EdVentures program beyond Bellingham city limits ! We are currently also serving Mount Baker School District and looking to expand into Blaine School District as well ! Our series of outings for 1st 2nd and 3rd grade classrooms focus on topics ranging from bird nests to pollinators and align with Next Generation Science Standards We are excited to have strong support from Mount Baker School District leadership Curriculum Director Bridget Rossman has said ""As a rural school district encompassing 622 square miles surrounded by forest rivers and mountains we believe in the power of our outdoor classroom yet lack the expertise to fully utilize it We are thrilled to partner with community organizations to provide outdoor educational lessons that integrate healthy habits scientific inquiry and social emotional learning "" We are excited to be outside with more students this year ! If you'd like to help support our EdVentures program you can donate by clicking the link in our bio blaineschooldistrict mountbakerschooldistrict communityorganizations"
5,"What's your favorite poem from our 2019 Power in the Pen Anthology? 
#poetry #powerinthepen #communityorganizations",positive,neutral,positive-neutral,What's your favorite poem from our 2019 Power in the Pen Anthology? poetry powerinthepen communityorganizations
6,"Tomorrow (Saturday) from 10am-1pm at Mcminnville Public Library. Come by. say hi! Checkout some free seeds. Donate seeds. Chat and meet community members. 
We would love to see you!! <U+0001F331><U+0001F49A><U+0001F332><U+0001F33C>
*
*
*
#mcminnvilleseedlibrary #mcminnvilleoregon #seedlibrary #seedsaving #mutualaid #communitycare #community #pnw #seedsnotbombs #growsomethingbeautiful #seedsforthefuture",positive,positive,positive-positive,Tomorrow (Saturday) from 10am 1pm at Mcminnville Public Library Come by say hi ! Checkout some free seeds Donate seeds Chat and meet community members We would love to see you ! ! U+0001F331 U+0001F49A U+0001F332 U+0001F33C * * * mcminnvilleseedlibrary mcminnvilleoregon seedlibrary seedsaving mutualaid communitycare community pnw seedsnotbombs growsomethingbeautiful seedsforthefuture
7,London Protests collection #ketnapatel #britishindian #britishart #britishphotographer #protests #lockdown #killthebill #freedomofspeech #1984  #streetculture #popart #ketnapatelstudio #covid #bigbrother #bravenewworld #orwellian #wtfisthis #freedom #totalianarianism,neutral,neutral,neutral-neutral,London Protests collection ketnapatel britishindian britishart britishphotographer protests lockdown killthebill freedomofspeech 1984 streetculture popart ketnapatelstudio covid bigbrother bravenewworld orwellian wtfisthis freedom totalianarianism
8,"Tonight @le_gafa is proud to share table sponsorship alongside alumni and actor/writer @ericscanlanjr & community partner @pacbizorg in support of the highly anticipated @wearesamoagala 

ABOUT THE EVENT
The We Are Samoa Gala is proud to be a platform that will benefit several initiatives that will serve the Pacific Islander Community through general education scholarships, performing arts scholarships, and continuing to build awareness on the burden of type 2 diabetes and heart disease on the Pacific Islander community.

• General education scholarships for Pacific Islanders students (through the National Pacific Islander Network, 501c3) 
• The Jerome Grey Performing Arts Fund to support Pacific Islander students pursuing a career in the arts 
• Create awareness and build outreach programs for the Pacific Islander community on the importance of the burden of diabetes on our community

#legafa #leadership #education #faasamoa #gagana #pacbiz #nonprofit #ericscanlanjr #sponsor #communityorganization #samoa #gala #event #support #community #jeromegrey #celebration #samoan #music #dance #entertainment #fashion #polynesian #pacificislander",positive,positive,positive-positive,Tonight le gafa is proud to share table sponsorship alongside alumni and actor writer ericscanlanjr & community partner pacbizorg in support of the highly anticipated wearesamoagala ABOUT THE EVENT The We Are Samoa Gala is proud to be a platform that will benefit several initiatives that will serve the Pacific Islander Community through general education scholarships performing arts scholarships and continuing to build awareness on the burden of type 2 diabetes and heart disease on the Pacific Islander community • General education scholarships for Pacific Islanders students (through the National Pacific Islander Network 501c3) • The Jerome Grey Performing Arts Fund to support Pacific Islander students pursuing a career in the arts • Create awareness and build outreach programs for the Pacific Islander community on the importance of the burden of diabetes on our community legafa leadership education faasamoa gagana pacbiz nonprofit ericscanlanjr sponsor communityorganization samoa gala event support community jeromegrey celebration samoan music dance entertainment fashion polynesian pacificislander
9,"@savinggabriella , an Afro-indigenous survivor of child abuse is struggling to pay for treatment to pull her out of crisis after being diagnosed with PTSD & CPTSD. Her patreon is available sign up so she can get the recurring monthly income she needs (this cost will go down in the later months and she comes out of crisis in quarantine). Right now it is urgent. Please sign up for her patreon, or if you are unable to commit to a monthly donation, a small ($5-$20) donation to her gofundme can at least help to cover her this months expenses. If you yourself cannot afford donate, please share and tag comrades and white allies in the comments!! #mutualaid #reparations #systemicracism #ptsd #cptsd #recovery #racism #blm",negative,positive,negative-positive,savinggabriella an Afro indigenous survivor of child abuse is struggling to pay for treatment to pull her out of crisis after being diagnosed with PTSD & CPTSD Her patreon is available sign up so she can get the recurring monthly income she needs (this cost will go down in the later months and she comes out of crisis in quarantine) Right now it is urgent Please sign up for her patreon or if you are unable to commit to a monthly donation a small ($5 $20) donation to her gofundme can at least help to cover her this months expenses If you yourself cannot afford donate please share and tag comrades and white allies in the comments ! ! mutualaid reparations systemicracism ptsd cptsd recovery racism blm
