,description,sentiment,predicted
2,"The #filibuster has made national news several times in recent days, yet its significance can be hard to grasp. It’s one of our most controversial tools, tied to a long history of oppression for women and communities of color. 

It’s important to fully acknowledge this history and make essential reforms so that we can move forward on the actions that matter most, instead of remaining stuck in the past and/or in partisan deadlock. Progress should never be stalled. 

#Repost @leagueofwomenvoters",negative,positive
3,"In-Game Imagery - <U+0001F4F8> taken by Neil Hunwicks (ABridgeTooFar16)
The Chadwell Heath Spartans <U+0001F534><U+26AB><U+FE0F> 
.
.
.
.
#chadwellheath 
#training 
#Essex
#essexfootball
#grassrootsfootball
#CHSFC
#grassroots
#nonleague
#Spartans
#Football
#photography
#sportsphotography
#<U+202A>amateurphotography<U+202C>
#FootballPeople
#nonleaguefootball",neutral,positive
5,#Killthebill #policecrackdownbill #righttoprotest #freedomofspeech #freedomofexpression #socialmovements #BLM #XR #policebrutality #protest #peopleunited #NoJusticeNoPeace #UK #wewillnotbesilenced #Londonprotest,neutral,negative
9,"<U+2728>THROWBACK MOMENT<U+2728>

The 2021 feminine hygiene purse drive had to be the one of the best drives we’ve had besides our mommy appreciation Christmas drive. We donated around $400 worth of feminine care products for homeless women and teen moms last April! 

Should we do this drive again this year? Let me know the comments below <U+2B07><U+FE0F> 

<U+2063>
.<U+2063>
.<U+2063>
.<U+2063>
.<U+2063>
.<U+2063>
#nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #blackfundraiser #blackfundraisers #communityorganization #blacknonprofit #communityorganizations #blacknonprofits #doula #doulas #doulalife #blackdoula #blackdoulas #blackdoulasmatter #blackmamasmatter #birthsupport #postpartumsupport #atlantawomen",positive,neutral
10,"<U+0001F64C><U+0001F3FE> It’s official. We finally have a federal anti-lynching law on the books. And we celebrate while continuing the fight for justice, which includes removing the #filibuster so we can protect our #votingrights!

It took 122 years for this to come to fruition, having been blocked by those who used the filibuster to stop it, just as they did to obstruct critical voting rights legislation last year.

<U+0001F6D1> This isn’t a game. The time is now to end the filibuster. The time is now to secure voting access and rights.",positive,negative
12,"Meet the Speakers

MJ Stowe is the Programme Coordinator at the South African Network of People Who Use Drugs (SANPUD) and a Researcher in the Department of Family Medicine at the University of Pretoria, South Africa. He is also an International Working Group Member at YouthRISE. MJ's Current work includes i) behaviour change among PWUD/ID associated with the operalization of needle and syringe services; ii) drug checking/substance analyses in festival and community settings; iii) mortality and morbidities associated with injecting drug use among PWID; iv) social justice and racial inclusivity in harm reduction and drug policy reform in South Africa; v) increasing community-based access to naloxone and developing overdose prevention programmes; and vi) including drug sellers in harm reduction services.

Link to online side event and watchparty in Linktree.

#CND64 #SSDPInternational #SSDP #StudentsForSensibleDrugPolicy #DrugPolicy #DrugPolicyReform #WarOnDrugs #TheWarOnDrugsIsAWarOnUs #StartMakingSense #LegalizePeopleWhoUseDrugs #HarmReduction #Decriminalize #JustSayKnow #Youth #YoungPeople #Students #Global #International #HumanRights #Grassroots #Nonprofit",positive,neutral
15,New nft (0.045 ETH) #eft #nft #awesome #obama #love #war #ricin #walt #amongus #etfs #commodities #trains #railway #minecart #train #move #government #involved #peace #nomorewar #filibuster #rad #championsleague #mets #obama,neutral,positive
16,"""What's happening in Yemen is the worst humanitarian crisis on the planet. 16 million people—over half of the country's population—are going hungry.""-@repmarkpocan

#MarkPocan #Yemen #YemenCantWait #BernieSanders #MedicareForAll #FightFor15 #RaiseTheWage #OrganizeToWin #NotMeUs #OurRevolution #GoodJobsForAll #Justice #Healthcare #GunControl #GunReformNow #GunControlNow #GunReform #BackgroundChecks #BackgroundChecksNow #HR8 #Politics #uspolitics #Progressive #Filibuster #AbolishFilibusterNow #AbolishFilibuster #EndFilibuster #EnoughIsEnough #Senate #10votes",negative,neutral
17,"JOIN US! ALLEY CLEAN UP on April 16th from 9AM-12PM! 
•
PLEASE LET US KNOW IN THE DM’S IF YOU ARE INTERESTED TO VOLUNTEER! 
•
#winwithfit #winwithfitfam #communityworkout
#cityofphoenix #diversity #eachoneteachone
#communitydevelopment #fitnessfreak #socialjustice
#communityorganization #arizona #judicialservices
#fitnesslifestyle #fitcoach #groupfitness
#socialenterprise #community #bridgethegap
#arizonacardinals #charities #nike #adidas
#phoenixsuns #neighborhoodcleanup #united",neutral,negative
18,"#ballschusstechnik 
#kleinfeldhelden
#tekkers 
#lastgoalwins #soccer #footballvideos #lovefootball #footballlove#grassroots
#vaporelite #footballtraining
#freekicks#soccertraining#soccerlife#mercurialelite #soccerworld @falkesport #footballskills#futebol#nikemercurialvapor#cleats  #soccerskills#futbol @derbystar @nikefootball @hummelsport #soccerdrills#nikemercurial #footballdrills #derbystar",positive,negative
