post_id,description,sentiment,len_description,hashtags,num_hasht,comments,likes,mentions,year,month,day,hashtags_r
2.7952355659784243e+18,"Notre gouvernement a créé l'initiative le sport communautaire pour tous pour accroître la participation aux sports, en particulier parmi les populations à faible revenu et les nouveaux arrivants. 

Le budget 2021 a alloué 80 millions de dollars sur deux ans pour éliminer les obstacles à la participation à des programmes sportifs et aider les organismes communautaires à rendre possible l’accès aux sports organisés locaux.
#sportcommunautaire #eliminerobstaclesauxsports #programmesportif #participation 

Our government created The Community Sport for All initiative to increase participation in sports, particularly among low income and newcomer populations. 

Budget 2021 allocated $80 million over two years to remove barriers to participation in sports programs and assist community organizations make accessible local organized sports possible. 
#removebarriersfromsports #communityorganizations #communitysportforall",positive,925,"['#sportcommunautaire', '#eliminerobstaclesauxsports', '#programmesportif', '#participation', '#removebarriersfromsports', '#communityorganizations', '#communitysportforall']",7,0,30,0,2022,April,6,"c(#sportcommunautaire', '#eliminerobstaclesauxsports', '#programmesportif', '#participation', '#removebarriersfromsports', '#communityorganizations', '#communitysportforall)"
2.803953411432948e+18,"Good Monday morning, everyone. Are you prepared for the week? Getting your ideas and tasks set up will help to keep you focused and on track. Start your week off strong and hit the ground running.

#personaldevelopment #leadershipdevelopment #communityorganization #empoweringothers  #communityoutreach #leadershipprogram #serveothers #Mondaymotivation #mondaythoughts #nonprofitorganization #encouragement",positive,406,"['#personaldevelopment', '#leadershipdevelopment', '#communityorganization', '#empoweringothers', '#communityoutreach', '#leadershipprogram', '#serveothers', '#Mondaymotivation', '#mondaythoughts', '#nonprofitorganization', '#encouragement']",11,0,1,0,2022,April,6,"c(#personaldevelopment', '#leadershipdevelopment', '#communityorganization', '#empoweringothers', '#communityoutreach', '#leadershipprogram', '#serveothers', '#Mondaymotivation', '#mondaythoughts', '#nonprofitorganization', '#encouragement)"
2.547679816586802e+18,"The #filibuster has made national news several times in recent days, yet its significance can be hard to grasp. It’s one of our most controversial tools, tied to a long history of oppression for women and communities of color. 

It’s important to fully acknowledge this history and make essential reforms so that we can move forward on the actions that matter most, instead of remaining stuck in the past and/or in partisan deadlock. Progress should never be stalled. 

#Repost @leagueofwomenvoters",negative,498,"['#filibuster', '#Repost']",2,0,10,1,2021,April,9,"c(#filibuster', '#Repost)"
2.5483889701545324e+18,"In-Game Imagery - <U+0001F4F8> taken by Neil Hunwicks (ABridgeTooFar16)
The Chadwell Heath Spartans <U+0001F534><U+26AB><U+FE0F> 
.
.
.
.
#chadwellheath 
#training 
#Essex
#essexfootball
#grassrootsfootball
#CHSFC
#grassroots
#nonleague
#Spartans
#Football
#photography
#sportsphotography
#<U+202A>amateurphotography<U+202C>
#FootballPeople
#nonleaguefootball",neutral,309,"['#chadwellheath', '#training', '#Essex', '#essexfootball', '#grassrootsfootball', '#CHSFC', '#grassroots', '#nonleague', '#Spartans', '#Football', '#photography', '#sportsphotography', '#FootballPeople', '#nonleaguefootball']",14,0,1,0,2021,April,9,"c(#chadwellheath', '#training', '#Essex', '#essexfootball', '#grassrootsfootball', '#CHSFC', '#grassroots', '#nonleague', '#Spartans', '#Football', '#photography', '#sportsphotography', '#FootballPeople', '#nonleaguefootball)"
2.8070982003029064e+18,"Happy National Volunteer Month! <U+0001F30E><U+2728>

This month is dedicated to honoring all of the volunteers in our communities, as well as encouraging volunteerism. 

We would like to recognize and send a special mahalo to our local chapters for their time and dedication. It is members like you who create positive change in our community! 

#JCIHawaii #JCIHI #JCIEmpowersMe #JCITheTimeIsNow #JCIUSA #JuniorChamberInternational #CommunityOrganization #CommunityService #ActiveCitizens #YoungProfessionals #NationalVolunteerMonth #Volunteer #Volunteerism",positive,540,"['#JCIHawaii', '#JCIHI', '#JCIEmpowersMe', '#JCITheTimeIsNow', '#JCIUSA', '#JuniorChamberInternational', '#CommunityOrganization', '#CommunityService', '#ActiveCitizens', '#YoungProfessionals', '#NationalVolunteerMonth', '#Volunteer', '#Volunteerism']",13,0,11,0,2022,April,6,"c(#JCIHawaii', '#JCIHI', '#JCIEmpowersMe', '#JCITheTimeIsNow', '#JCIUSA', '#JuniorChamberInternational', '#CommunityOrganization', '#CommunityService', '#ActiveCitizens', '#YoungProfessionals', '#NationalVolunteerMonth', '#Volunteer', '#Volunteerism)"
2.5452094042057103e+18,#Killthebill #policecrackdownbill #righttoprotest #freedomofspeech #freedomofexpression #socialmovements #BLM #XR #policebrutality #protest #peopleunited #NoJusticeNoPeace #UK #wewillnotbesilenced #Londonprotest,neutral,211,"['#Killthebill', '#policecrackdownbill', '#righttoprotest', '#freedomofspeech', '#freedomofexpression', '#socialmovements', '#BLM', '#XR', '#policebrutality', '#protest', '#peopleunited', '#NoJusticeNoPeace', '#UK', '#wewillnotbesilenced', '#Londonprotest']",15,0,7,0,2021,April,9,"c(#Killthebill', '#policecrackdownbill', '#righttoprotest', '#freedomofspeech', '#freedomofexpression', '#socialmovements', '#BLM', '#XR', '#policebrutality', '#protest', '#peopleunited', '#NoJusticeNoPeace', '#UK', '#wewillnotbesilenced', '#Londonprotest)"
2.8098754917138463e+18,"Another reason why Community Forklift is “Forking Amazing”: we provide free materials to households with limited income through our Home Essentials Program. In 2021 alone, we distributed over $68,000 worth of home repair supplies, appliances, and other essentials to 195 households. 

Help lift up your neighbors in need by supporting our reuse nonprofit. Donating $25 or more at the front desk gets you a snazzy “Forking Amazing” t-shirt! You can also show your support by donating $1 or more and putting your name up on our “Forking Amazing” wall. Thank you!
.
.
.
.
.
#CFforkingamazing #reusestore #reusewarehouse #salvageyard #architecturalsalvage #salvagedfurniture #communitygiving #salvagedhome #wastediversion #choosetoreuse #reuserevolution #wasteless #donatedontdump #noplanetb #naturalresources #communitybuilding #communitysupport #communityprograms #ecofriendlybusiness #buildingmaterials #homeessentials #nonprofitorg #nonprofitorgs #MDnonprofit #communityorganization #CommunityForklift #DMVarea #DMVmetro #DCarea #PrinceGeorgesCounty",positive,1049,"['#CFforkingamazing', '#reusestore', '#reusewarehouse', '#salvageyard', '#architecturalsalvage', '#salvagedfurniture', '#communitygiving', '#salvagedhome', '#wastediversion', '#choosetoreuse', '#reuserevolution', '#wasteless', '#donatedontdump', '#noplanetb', '#naturalresources', '#communitybuilding', '#communitysupport', '#communityprograms', '#ecofriendlybusiness', '#buildingmaterials', '#homeessentials', '#nonprofitorg', '#nonprofitorgs', '#MDnonprofit', '#communityorganization', '#CommunityForklift', '#DMVarea', '#DMVmetro', '#DCarea', '#PrinceGeorgesCounty']",30,0,47,0,2022,April,6,"c(#CFforkingamazing', '#reusestore', '#reusewarehouse', '#salvageyard', '#architecturalsalvage', '#salvagedfurniture', '#communitygiving', '#salvagedhome', '#wastediversion', '#choosetoreuse', '#reuserevolution', '#wasteless', '#donatedontdump', '#noplanetb', '#naturalresources', '#communitybuilding', '#communitysupport', '#communityprograms', '#ecofriendlybusiness', '#buildingmaterials', '#homeessentials', '#nonprofitorg', '#nonprofitorgs', '#MDnonprofit', '#communityorganization', '#CommunityForklift', '#DMVarea', '#DMVmetro', '#DCarea', '#PrinceGeorgesCounty)"
2.5431288832327035e+18,"Yes, on Tuesday at 20h, speaking with the awesome designer, activist and longtime community force Kevin Yuen-Kit Lo of @lokimon / Live on @suoniperilpopolo TV, 8 à 9 !

Listen directly on the Suoni Per Il Popolo page, or stream also directly on the Suoni website here: https://suoniperilpopolo.org

Kevin Yuen Kit Lo is a graphic designer, educator and community organiser based in Montréal / Tiohti:àke. He is the creative director of LOKI, a design studio working at the intersections of graphic design, cultural production and social change. His creative practice is rooted in the radical potentials of typography, in its material form and meaning-making. 

Kevin is also a member of @justseeds and teaches design at @concordiauniversity when the university is lucky.

#design #activistdesign #posterdesign #socialmovements #lokidesign",positive,838,"['#design', '#activistdesign', '#posterdesign', '#socialmovements', '#lokidesign']",5,0,32,4,2021,April,9,"c(#design', '#activistdesign', '#posterdesign', '#socialmovements', '#lokidesign)"
2.5482613655510323e+18,#georgia<U+0001F1EC><U+0001F1EA> #racha #protests,neutral,27,"['#georgia', '#racha', '#protests']",3,0,0,0,2021,April,9,"c(#georgia', '#racha', '#protests)"
2.759394302546509e+18,"<U+2728>THROWBACK MOMENT<U+2728>

The 2021 feminine hygiene purse drive had to be the one of the best drives we’ve had besides our mommy appreciation Christmas drive. We donated around $400 worth of feminine care products for homeless women and teen moms last April! 

Should we do this drive again this year? Let me know the comments below <U+2B07><U+FE0F> 

<U+2063>
.<U+2063>
.<U+2063>
.<U+2063>
.<U+2063>
.<U+2063>
#nonprofits #atlnonprofit #atlnonprofits #atlantanonprofit #atlantanonprofits #nonprofitorganization #nonprofitorganizations #blackfundraiser #blackfundraisers #communityorganization #blacknonprofit #communityorganizations #blacknonprofits #doula #doulas #doulalife #blackdoula #blackdoulas #blackdoulasmatter #blackmamasmatter #birthsupport #postpartumsupport #atlantawomen",positive,723,"['#nonprofits', '#atlnonprofit', '#atlnonprofits', '#atlantanonprofit', '#atlantanonprofits', '#nonprofitorganization', '#nonprofitorganizations', '#blackfundraiser', '#blackfundraisers', '#communityorganization', '#blacknonprofit', '#communityorganizations', '#blacknonprofits', '#doula', '#doulas', '#doulalife', '#blackdoula', '#blackdoulas', '#blackdoulasmatter', '#blackmamasmatter', '#birthsupport', '#postpartumsupport', '#atlantawomen']",23,0,11,0,2022,April,6,"c(#nonprofits', '#atlnonprofit', '#atlnonprofits', '#atlantanonprofit', '#atlantanonprofits', '#nonprofitorganization', '#nonprofitorganizations', '#blackfundraiser', '#blackfundraisers', '#communityorganization', '#blacknonprofit', '#communityorganizations', '#blacknonprofits', '#doula', '#doulas', '#doulalife', '#blackdoula', '#blackdoulas', '#blackdoulasmatter', '#blackmamasmatter', '#birthsupport', '#postpartumsupport', '#atlantawomen)"
